year,state,smoking,disability_65,self_rated_health,drinking,leisure_phys_act,overweight,poverty,diabetes,sleep,mental_health
2015,ME,19.5,34.1,16.1,8.1,24.8,66.5,13.4,9.9,NA,3.8
2015,MI,20.7,35.4,17.7,6.5,25.5,66.2,15.8,10.7,NA,3.8
2015,MN,16.2,32,12.4,6.5,21.8,62.8,10.2,7.6,NA,2.9
2015,MO,22.3,37.1,17.8,6.2,27,66.3,14.8,11.5,NA,4
2015,MS,22.5,42.6,23.6,4.5,36.8,70.1,22,14.7,NA,4.5
2015,MT,18.9,34.4,15.1,7.7,22.5,61,14.6,7.9,NA,3.4
2015,NC,19,36.5,19.2,4.7,26.2,65.8,16.4,10.7,NA,3.7
2015,ND,18.7,35.9,13.9,6.5,26.8,67,11,8.7,NA,3.3
2015,NE,17.1,33.6,13.9,5.7,25.3,67,12.6,8.8,NA,2.9
2015,NH,15.9,32.6,12.1,6.4,22.6,63.6,8.2,8.1,NA,3.5
2015,NJ,13.5,32.6,16,4.8,27.2,63.4,10.8,9,NA,3.3
2015,NM,17.5,40.6,20.8,4.5,22.6,64.5,20.4,11.5,NA,3.7
2015,NV,17.5,35.2,17.6,6.2,24.7,64.7,14.7,9.7,NA,3.8
2015,NY,15.2,33.4,16.8,5.5,29.3,59.5,15.4,9.8,NA,3.7
2015,OH,21.6,34.6,16.5,6.1,27,66.5,14.8,11,NA,3.9
2015,OK,22.2,41.3,21.8,4.2,33.2,68.9,16.1,11.7,NA,4.1
2015,OR,17.1,37.6,18.6,7.2,18.8,64.5,15.4,10.7,NA,4.5
2015,PA,18.1,34.4,16.4,5.6,27.8,66.2,13.2,10.4,NA,3.8
2015,PR,10.7,49.5,36.4,4.6,48.1,67,46.1,16.5,NA,3.8
2015,RI,15.5,34.4,16.2,6.1,28.1,62.6,13.9,9,NA,4.1
2015,SC,19.7,37.4,18,6.3,26.7,66.2,16.6,11.8,NA,4.3
2015,SD,20.1,32.6,13.7,4.8,21.5,64.5,13.7,9.3,NA,2.4
2015,TN,21.9,39.7,21.1,4.7,30.4,68.7,16.7,12.7,NA,4.3
2015,TX,15.2,38.5,19.4,5.8,29.5,68.7,15.9,11.4,NA,3.2
2015,UT,9.1,35.3,12.5,3.6,20.3,59.6,11.3,7,NA,3.6
2015,VA,16.5,32.8,15.2,5.9,25.1,64.1,11.2,10.3,NA,3.2
2015,VI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,VT,16,33.6,12.6,7.7,22.2,59.9,10.2,8.2,NA,3.5
2015,WA,15,35.8,14.9,6.3,19,62.5,12.2,8.4,NA,3.7
2015,WI,17.3,31.7,14.6,8.2,21.6,66,12.1,8.4,NA,3.4
2015,WV,25.7,43.5,25.9,3.5,30.8,71.1,17.9,14.5,NA,4.7
2015,WY,19.1,36.2,14.9,6.2,26.2,65.4,11.1,8.4,NA,3.6
2016,AK,19,39.6,13.8,6.1,19.1,66.7,9.9,7.5,65.7,3.5
2016,AL,21.5,40.7,22.6,5.4,29.4,69.5,17.1,14.6,60.5,4.5
2016,AR,23.6,40.4,25.6,5.2,32.5,68.2,17.2,13.5,62.7,5
2016,AZ,14.7,34.3,18.6,6.2,23.1,63.2,16.4,10.8,65.6,3.8
2016,CA,11,35.6,17.8,5.9,20.5,61,14.3,10.2,63.6,3.5
2016,CO,15.6,31.3,14.5,6.8,15.8,58.1,11,6.6,70.5,3.6
2016,CT,13.3,31.7,14.4,5.7,21.3,61.8,9.8,9.8,64.5,3.7
2016,DC,14.7,34,11.5,11.1,16.2,53.5,18.6,7.7,63.2,3.4
2016,DE,17.7,31.1,16.4,6.4,26.6,68,11.7,10.6,61.3,3.6
2016,FL,15.5,33.1,19.5,6.8,29.8,63.2,14.7,11.8,63.9,3.6
2016,GA,17.9,36.5,19.1,5.6,29.4,65.8,16,12.1,61.8,3.8
2016,GU,25.1,NA,21.8,8.3,29.6,64.5,NA,10,49.3,3.8
2016,HI,13.1,34.3,14.8,7.9,20.8,57.6,9.3,10.5,55.6,3.1
2016,IA,16.7,31.9,13.9,6.9,22.7,68.7,11.8,9.3,69.4,3.3
2016,ID,14.5,36.1,15.9,7,20.2,64.5,14.4,8.9,68.5,3.5
2016,IL,15.8,33.8,18,6.8,23.9,65,13,10.4,65.8,3.4
2016,IN,21.1,37.1,18.5,6.6,26.8,67.2,14.1,11.5,61.6,4.2
2016,KS,17.2,34.9,15.4,5.8,23.5,66.7,12.1,9.4,66.9,3.2
2016,KY,24.5,42.3,22.5,6.2,29.8,69.1,18.5,13.1,59.2,4.6
2016,LA,22.8,39.5,21.9,6.5,29.1,69.2,20.2,12.1,60,4.2
2016,MA,13.6,32,14.1,7.5,19.9,60.2,10.4,9.2,64.5,3.9
